"name","n","m","heuristic","non-permutation insertions [%]","makespan","time.µs."
"ta001",20,5,"NEH",0,1286,15
"ta001",20,5,"NEH",10,1286,23
"ta001",20,5,"NEH",20,1286,25
"ta001",20,5,"NEH",30,1286,29
"ta001",20,5,"NEH",40,1286,32
"ta001",20,5,"NEH",50,1285,38
"ta001",20,5,"NEH",60,1283,39
"ta001",20,5,"NEH",70,1283,41
"ta001",20,5,"NEH",80,1283,47
"ta001",20,5,"NEH",90,1283,39
"ta001",20,5,"NEH",100,1283,39
"ta001",20,5,"BRN",0,1286,15
"ta001",20,5,"BRN",10,1286,31
"ta001",20,5,"BRN",20,1286,40
"ta001",20,5,"BRN",30,1286,51
"ta001",20,5,"BRN",40,1286,67
"ta001",20,5,"BRN",50,1283,74
"ta001",20,5,"BRN",60,1283,73
"ta001",20,5,"BRN",70,1283,92
"ta001",20,5,"BRN",80,1283,108
"ta001",20,5,"BRN",90,1283,104
"ta001",20,5,"BRN",100,1283,96
"ta001",20,5,"FF",0,1297,24
"ta001",20,5,"FF",10,1297,27
"ta001",20,5,"FF",20,1297,33
"ta001",20,5,"FF",30,1297,34
"ta001",20,5,"FF",40,1297,37
"ta001",20,5,"FF",50,1297,40
"ta001",20,5,"FF",60,1297,42
"ta001",20,5,"FF",70,1297,44
"ta001",20,5,"FF",80,1290,49
"ta001",20,5,"FF",90,1311,48
"ta001",20,5,"FF",100,1311,49
"ta001",20,5,"F5",0,1297,265
"ta001",20,5,"F5",10,1297,366
"ta001",20,5,"F5",20,1290,462
"ta001",20,5,"F5",30,1290,549
"ta001",20,5,"F5",40,1290,581
"ta001",20,5,"F5",50,1290,639
"ta001",20,5,"F5",60,1290,669
"ta001",20,5,"F5",70,1278,730
"ta001",20,5,"F5",80,1278,741
"ta001",20,5,"F5",90,1278,741
"ta001",20,5,"F5",100,1278,741
"ta001",20,5,"RN",0,1278,449
"ta001",20,5,"RN",10,1278,633
"ta001",20,5,"RN",20,1278,781
"ta001",20,5,"RN",30,1278,936
"ta001",20,5,"RN",40,1278,1003
"ta001",20,5,"RN",50,1278,1280
"ta001",20,5,"RN",60,1278,1211
"ta001",20,5,"RN",70,1278,1235
"ta001",20,5,"RN",80,1278,1251
"ta001",20,5,"RN",90,1278,1234
"ta001",20,5,"RN",100,1278,1270
"ta001",20,5,"Pa",0,1278,480
"ta001",20,5,"Pa",10,1278,692
"ta001",20,5,"Pa",20,1278,837
"ta001",20,5,"Pa",30,1278,944
"ta001",20,5,"Pa",40,1278,1050
"ta001",20,5,"Pa",50,1278,1817
"ta001",20,5,"Pa",60,1278,1404
"ta001",20,5,"Pa",70,1278,1452
"ta001",20,5,"Pa",80,1278,1482
"ta001",20,5,"Pa",90,1278,1452
"ta001",20,5,"Pa",100,1278,1467
"ta001",20,5,"Pc",0,1278,132
"ta001",20,5,"Pc",10,1278,143
"ta001",20,5,"Pc",20,1278,173
"ta001",20,5,"Pc",30,1278,179
"ta001",20,5,"Pc",40,1278,211
"ta001",20,5,"Pc",50,1278,363
"ta001",20,5,"Pc",60,1290,300
"ta001",20,5,"Pc",70,1290,305
"ta001",20,5,"Pc",80,1290,324
"ta001",20,5,"Pc",90,1290,333
"ta001",20,5,"Pc",100,1290,336
"ta001",20,5,"LJP",0,1297,96
"ta002",20,5,"NEH",0,1365,13
"ta002",20,5,"NEH",10,1365,22
"ta002",20,5,"NEH",20,1365,20
"ta002",20,5,"NEH",30,1365,23
"ta002",20,5,"NEH",40,1365,27
"ta002",20,5,"NEH",50,1365,28
"ta002",20,5,"NEH",60,1365,29
"ta002",20,5,"NEH",70,1365,34
"ta002",20,5,"NEH",80,1365,33
"ta002",20,5,"NEH",90,1365,31
"ta002",20,5,"NEH",100,1365,31
"ta002",20,5,"BRN",0,1365,11
"ta002",20,5,"BRN",10,1365,23
"ta002",20,5,"BRN",20,1365,28
"ta002",20,5,"BRN",30,1365,39
"ta002",20,5,"BRN",40,1365,46
"ta002",20,5,"BRN",50,1365,59
"ta002",20,5,"BRN",60,1365,60
"ta002",20,5,"BRN",70,1365,57
"ta002",20,5,"BRN",80,1365,69
"ta002",20,5,"BRN",90,1365,82
"ta002",20,5,"BRN",100,1365,77
"ta002",20,5,"FF",0,1383,21
"ta002",20,5,"FF",10,1383,23
"ta002",20,5,"FF",20,1383,23
"ta002",20,5,"FF",30,1383,27
"ta002",20,5,"FF",40,1383,28
"ta002",20,5,"FF",50,1383,30
"ta002",20,5,"FF",60,1383,36
"ta002",20,5,"FF",70,1397,39
"ta002",20,5,"FF",80,1397,40
