"name","n","m","heuristic","non-permutation insertions [%]","makespan","time.µs."
"vrfl001",100,20,"NEH",0,6596,1136
"vrfl001",100,20,"NEH",10,6596,1441
"vrfl001",100,20,"NEH",20,6586,1998
"vrfl001",100,20,"NEH",30,6599,2267
"vrfl001",100,20,"NEH",40,6535,2584
"vrfl001",100,20,"NEH",50,6538,3217
"vrfl001",100,20,"NEH",60,6512,3574
"vrfl001",100,20,"NEH",70,6559,3945
"vrfl001",100,20,"NEH",80,6527,4545
"vrfl001",100,20,"NEH",90,6578,4863
"vrfl001",100,20,"NEH",100,6578,4691
"vrfl001",100,20,"BRN",0,6596,1033
"vrfl001",100,20,"BRN",10,6525,3177
"vrfl001",100,20,"BRN",20,6469,6323
"vrfl001",100,20,"BRN",30,6505,8304
"vrfl001",100,20,"BRN",40,6435,10469
"vrfl001",100,20,"BRN",50,6481,11630
"vrfl001",100,20,"BRN",60,6474,12003
"vrfl001",100,20,"BRN",70,6448,12331
"vrfl001",100,20,"BRN",80,6491,14422
"vrfl001",100,20,"BRN",90,6506,14266
"vrfl001",100,20,"BRN",100,6500,13647
"vrfl001",100,20,"FF",0,6542,1024
"vrfl001",100,20,"FF",10,6539,1689
"vrfl001",100,20,"FF",20,6600,1922
"vrfl001",100,20,"FF",30,6561,2340
"vrfl001",100,20,"FF",40,6563,2942
"vrfl001",100,20,"FF",50,6499,3004
"vrfl001",100,20,"FF",60,6468,3465
"vrfl001",100,20,"FF",70,6630,4455
"vrfl001",100,20,"FF",80,6644,4398
"vrfl001",100,20,"FF",90,6557,4631
"vrfl001",100,20,"FF",100,6577,4631
"vrfl001",100,20,"F5",0,6374,163094
"vrfl001",100,20,"F5",10,6391,245084
"vrfl001",100,20,"F5",20,6385,434281
"vrfl001",100,20,"F5",30,6356,516802
"vrfl001",100,20,"F5",40,6406,509248
"vrfl001",100,20,"F5",50,6338,614645
"vrfl001",100,20,"F5",60,6358,630974
"vrfl001",100,20,"F5",70,6337,736609
"vrfl001",100,20,"F5",80,6392,669377
"vrfl001",100,20,"F5",90,6363,693365
"vrfl001",100,20,"F5",100,6318,786455
"vrfl001",100,20,"RN",0,6339,155274
"vrfl001",100,20,"RN",10,6323,274053
"vrfl001",100,20,"RN",20,6323,423070
"vrfl001",100,20,"RN",30,6335,540551
"vrfl001",100,20,"RN",40,6326,606512
"vrfl001",100,20,"RN",50,6333,648159
"vrfl001",100,20,"RN",60,6386,756796
"vrfl001",100,20,"RN",70,6338,753493
"vrfl001",100,20,"RN",80,6366,819985
"vrfl001",100,20,"RN",90,6330,758129
"vrfl001",100,20,"RN",100,6347,833078
"vrfl001",100,20,"Pa",0,6374,395699
"vrfl001",100,20,"Pa",10,6313,909176
"vrfl001",100,20,"Pa",20,6283,1371243
"vrfl001",100,20,"Pa",30,6319,1718616
"vrfl001",100,20,"Pa",40,6322,1852396
"vrfl001",100,20,"Pa",50,6287,2060659
"vrfl001",100,20,"Pa",60,6315,1997176
"vrfl001",100,20,"Pa",70,6326,2199295
"vrfl001",100,20,"Pa",80,6343,2284543
"vrfl001",100,20,"Pa",90,6305,2031054
"vrfl001",100,20,"Pa",100,6315,2371222
"vrfl001",100,20,"Pc",0,6415,122521
"vrfl001",100,20,"Pc",10,6375,224728
"vrfl001",100,20,"Pc",20,6402,329212
"vrfl001",100,20,"Pc",30,6324,485703
"vrfl001",100,20,"Pc",40,6312,515380
"vrfl001",100,20,"Pc",50,6293,504237
"vrfl001",100,20,"Pc",60,6352,646584
"vrfl001",100,20,"Pc",70,6365,666372
"vrfl001",100,20,"Pc",80,6324,693568
"vrfl001",100,20,"Pc",90,6358,563936
"vrfl001",100,20,"Pc",100,6367,729921
"vrfl001",100,20,"LJP",0,6579,2096
"vrfl002",100,20,"NEH",0,6685,971
"vrfl002",100,20,"NEH",10,6685,1513
"vrfl002",100,20,"NEH",20,6670,1987
"vrfl002",100,20,"NEH",30,6670,2235
"vrfl002",100,20,"NEH",40,6658,2743
"vrfl002",100,20,"NEH",50,6627,3326
"vrfl002",100,20,"NEH",60,6616,3508
"vrfl002",100,20,"NEH",70,6598,4067
"vrfl002",100,20,"NEH",80,6616,4372
"vrfl002",100,20,"NEH",90,6745,4559
"vrfl002",100,20,"NEH",100,6654,4891
"vrfl002",100,20,"BRN",0,6685,1034
"vrfl002",100,20,"BRN",10,6562,3527
"vrfl002",100,20,"BRN",20,6587,5334
"vrfl002",100,20,"BRN",30,6541,7851
"vrfl002",100,20,"BRN",40,6622,10420
"vrfl002",100,20,"BRN",50,6615,10438
"vrfl002",100,20,"BRN",60,6580,12212
"vrfl002",100,20,"BRN",70,6623,12987
"vrfl002",100,20,"BRN",80,6611,12001
"vrfl002",100,20,"BRN",90,6628,13089
"vrfl002",100,20,"BRN",100,6536,14202
"vrfl002",100,20,"FF",0,6600,1096
"vrfl002",100,20,"FF",10,6600,1618
"vrfl002",100,20,"FF",20,6574,1931
"vrfl002",100,20,"FF",30,6602,2388
"vrfl002",100,20,"FF",40,6622,2873
"vrfl002",100,20,"FF",50,6631,3548
"vrfl002",100,20,"FF",60,6569,3539
"vrfl002",100,20,"FF",70,6621,4157
"vrfl002",100,20,"FF",80,6682,4301
"vrfl002",100,20,"FF",90,6614,5182
