"name","n","m","heuristic","non-permutation insertions [%]","makespan","time.µs."
"vrfs001",10,5,"NEH",0,695,7
"vrfs001",10,5,"NEH",10,695,9
"vrfs001",10,5,"NEH",20,676,7
"vrfs001",10,5,"NEH",30,676,8
"vrfs001",10,5,"NEH",40,676,9
"vrfs001",10,5,"NEH",50,676,9
"vrfs001",10,5,"NEH",60,676,10
"vrfs001",10,5,"NEH",70,676,11
"vrfs001",10,5,"NEH",80,676,10
"vrfs001",10,5,"NEH",90,676,11
"vrfs001",10,5,"NEH",100,676,11
"vrfs001",10,5,"BRN",0,695,4
"vrfs001",10,5,"BRN",10,675,14
"vrfs001",10,5,"BRN",20,675,13
"vrfs001",10,5,"BRN",30,675,19
"vrfs001",10,5,"BRN",40,675,20
"vrfs001",10,5,"BRN",50,675,23
"vrfs001",10,5,"BRN",60,675,25
"vrfs001",10,5,"BRN",70,675,28
"vrfs001",10,5,"BRN",80,675,29
"vrfs001",10,5,"BRN",90,666,35
"vrfs001",10,5,"BRN",100,666,37
"vrfs001",10,5,"FF",0,695,7
"vrfs001",10,5,"FF",10,695,6
"vrfs001",10,5,"FF",20,675,7
"vrfs001",10,5,"FF",30,675,8
"vrfs001",10,5,"FF",40,675,9
"vrfs001",10,5,"FF",50,675,9
"vrfs001",10,5,"FF",60,675,10
"vrfs001",10,5,"FF",70,675,13
"vrfs001",10,5,"FF",80,675,13
"vrfs001",10,5,"FF",90,651,14
"vrfs001",10,5,"FF",100,651,13
"vrfs001",10,5,"F5",0,695,38
"vrfs001",10,5,"F5",10,675,56
"vrfs001",10,5,"F5",20,651,86
"vrfs001",10,5,"F5",30,651,91
"vrfs001",10,5,"F5",40,651,106
"vrfs001",10,5,"F5",50,651,113
"vrfs001",10,5,"F5",60,651,118
"vrfs001",10,5,"F5",70,651,120
"vrfs001",10,5,"F5",80,651,122
"vrfs001",10,5,"F5",90,651,121
"vrfs001",10,5,"F5",100,651,121
"vrfs001",10,5,"RN",0,695,50
"vrfs001",10,5,"RN",10,651,69
"vrfs001",10,5,"RN",20,651,121
"vrfs001",10,5,"RN",30,651,143
"vrfs001",10,5,"RN",40,651,159
"vrfs001",10,5,"RN",50,651,156
"vrfs001",10,5,"RN",60,651,179
"vrfs001",10,5,"RN",70,651,177
"vrfs001",10,5,"RN",80,651,174
"vrfs001",10,5,"RN",90,651,168
"vrfs001",10,5,"RN",100,651,191
"vrfs001",10,5,"Pa",0,695,49
"vrfs001",10,5,"Pa",10,651,120
"vrfs001",10,5,"Pa",20,651,155
"vrfs001",10,5,"Pa",30,651,209
"vrfs001",10,5,"Pa",40,651,227
"vrfs001",10,5,"Pa",50,651,217
"vrfs001",10,5,"Pa",60,651,231
"vrfs001",10,5,"Pa",70,651,220
"vrfs001",10,5,"Pa",80,651,225
"vrfs001",10,5,"Pa",90,651,227
"vrfs001",10,5,"Pa",100,651,215
"vrfs001",10,5,"Pc",0,695,22
"vrfs001",10,5,"Pc",10,651,97
"vrfs001",10,5,"Pc",20,651,106
"vrfs001",10,5,"Pc",30,651,102
"vrfs001",10,5,"Pc",40,651,130
"vrfs001",10,5,"Pc",50,651,122
"vrfs001",10,5,"Pc",60,651,118
"vrfs001",10,5,"Pc",70,651,139
"vrfs001",10,5,"Pc",80,651,130
"vrfs001",10,5,"Pc",90,651,181
"vrfs001",10,5,"Pc",100,651,173
"vrfs001",10,5,"LJP",0,695,26
"vrfs002",10,5,"NEH",0,716,8
"vrfs002",10,5,"NEH",10,716,9
"vrfs002",10,5,"NEH",20,716,6
"vrfs002",10,5,"NEH",30,716,7
"vrfs002",10,5,"NEH",40,716,8
"vrfs002",10,5,"NEH",50,716,9
"vrfs002",10,5,"NEH",60,716,9
"vrfs002",10,5,"NEH",70,716,10
"vrfs002",10,5,"NEH",80,716,10
"vrfs002",10,5,"NEH",90,716,11
"vrfs002",10,5,"NEH",100,716,9
"vrfs002",10,5,"BRN",0,716,4
"vrfs002",10,5,"BRN",10,716,10
"vrfs002",10,5,"BRN",20,716,11
"vrfs002",10,5,"BRN",30,716,14
"vrfs002",10,5,"BRN",40,716,16
"vrfs002",10,5,"BRN",50,706,28
"vrfs002",10,5,"BRN",60,706,29
"vrfs002",10,5,"BRN",70,706,31
"vrfs002",10,5,"BRN",80,706,34
"vrfs002",10,5,"BRN",90,706,34
"vrfs002",10,5,"BRN",100,706,34
"vrfs002",10,5,"FF",0,716,8
"vrfs002",10,5,"FF",10,716,5
"vrfs002",10,5,"FF",20,716,5
"vrfs002",10,5,"FF",30,716,6
"vrfs002",10,5,"FF",40,716,7
"vrfs002",10,5,"FF",50,716,7
"vrfs002",10,5,"FF",60,716,8
"vrfs002",10,5,"FF",70,716,10
"vrfs002",10,5,"FF",80,716,10
"vrfs002",10,5,"FF",90,716,11
"vrfs002",10,5,"FF",100,716,11
"vrfs002",10,5,"F5",0,713,37
"vrfs002",10,5,"F5",10,713,50
"vrfs002",10,5,"F5",20,713,64
"vrfs002",10,5,"F5",30,713,70
"vrfs002",10,5,"F5",40,713,79
"vrfs002",10,5,"F5",50,713,95
"vrfs002",10,5,"F5",60,712,96
"vrfs002",10,5,"F5",70,712,93
"vrfs002",10,5,"F5",80,712,96
"vrfs002",10,5,"F5",90,712,90
"vrfs002",10,5,"F5",100,712,94
"vrfs002",10,5,"RN",0,713,52
"vrfs002",10,5,"RN",10,713,80
"vrfs002",10,5,"RN",20,713,90
"vrfs002",10,5,"RN",30,713,102
"vrfs002",10,5,"RN",40,713,125
"vrfs002",10,5,"RN",50,713,145
"vrfs002",10,5,"RN",60,698,194
"vrfs002",10,5,"RN",70,698,150
"vrfs002",10,5,"RN",80,698,147
"vrfs002",10,5,"RN",90,698,169
"vrfs002",10,5,"RN",100,698,155
"vrfs002",10,5,"Pa",0,713,57
"vrfs002",10,5,"Pa",10,713,84
"vrfs002",10,5,"Pa",20,713,88
"vrfs002",10,5,"Pa",30,713,109
"vrfs002",10,5,"Pa",40,713,130
"vrfs002",10,5,"Pa",50,713,206
"vrfs002",10,5,"Pa",60,698,242
"vrfs002",10,5,"Pa",70,698,211
"vrfs002",10,5,"Pa",80,698,212
"vrfs002",10,5,"Pa",90,698,214
"vrfs002",10,5,"Pa",100,698,241
"vrfs002",10,5,"Pc",0,713,31
"vrfs002",10,5,"Pc",10,713,35
"vrfs002",10,5,"Pc",20,713,39
"vrfs002",10,5,"Pc",30,713,46
"vrfs002",10,5,"Pc",40,713,50
"vrfs002",10,5,"Pc",50,702,97
"vrfs002",10,5,"Pc",60,702,91
"vrfs002",10,5,"Pc",70,702,102
"vrfs002",10,5,"Pc",80,702,93
"vrfs002",10,5,"Pc",90,702,92
"vrfs002",10,5,"Pc",100,702,96
"vrfs002",10,5,"LJP",0,713,17
"vrfs003",10,5,"NEH",0,754,6
"vrfs003",10,5,"NEH",10,754,6
"vrfs003",10,5,"NEH",20,754,6
"vrfs003",10,5,"NEH",30,750,8
"vrfs003",10,5,"NEH",40,750,8
"vrfs003",10,5,"NEH",50,750,10
"vrfs003",10,5,"NEH",60,750,10
"vrfs003",10,5,"NEH",70,750,11
"vrfs003",10,5,"NEH",80,750,11
"vrfs003",10,5,"NEH",90,750,11
"vrfs003",10,5,"NEH",100,750,11
"vrfs003",10,5,"BRN",0,754,4
"vrfs003",10,5,"BRN",10,749,14
"vrfs003",10,5,"BRN",20,748,15
"vrfs003",10,5,"BRN",30,742,21
"vrfs003",10,5,"BRN",40,742,26
"vrfs003",10,5,"BRN",50,742,28
"vrfs003",10,5,"BRN",60,742,31
"vrfs003",10,5,"BRN",70,742,33
"vrfs003",10,5,"BRN",80,742,37
"vrfs003",10,5,"BRN",90,742,49
"vrfs003",10,5,"BRN",100,742,35
"vrfs003",10,5,"FF",0,748,6
"vrfs003",10,5,"FF",10,748,6
"vrfs003",10,5,"FF",20,748,6
